Rank,Release Group,Worldwide,Domestic,%,Foreign,%
140,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
141,Seobok,"$4,119,613",-,-,"$4,119,613",100%
142,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
143,Family Swap,"$3,934,758",-,-,"$3,934,758",100%
144,Master Ji Gong,"$3,860,000",-,-,"$3,860,000",100%
145,Karnan,"$3,817,585",-,-,"$3,817,585",100%
146,Operation Portugal,"$3,765,443","$1,096",<0.1%,"$3,764,347",100%
147,Presidents,"$3,569,522",-,-,"$3,569,522",100%
148,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
149,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
150,12 Mighty Orphans,"$3,494,148","$3,494,148",100%,-,-
151,Son of Morning 2021 Re-release,"$3,491,793",-,-,"$3,491,793",100%
152,Catweazle,"$3,485,442",-,-,"$3,485,442",100%
153,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
154,Operación Camarón,"$3,381,429",-,-,"$3,381,429",100%
155,Ainbo,"$3,335,617",-,-,"$3,335,617",100%
156,Finding You,"$3,325,308","$2,753,985",82.8%,"$571,323",17.2%
157,Go Brother! 2,"$3,240,000",-,-,"$3,240,000",100%
158,Endless Rain,"$3,211,137","$7,334",0.2%,"$3,203,803",99.8%
159,The Girl Who Believes in Miracles,"$3,163,362","$3,163,362",100%,-,-
160,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
161,French Tech,"$3,158,212",-,-,"$3,158,212",100%
162,Land,"$3,157,601","$2,577,830",81.6%,"$579,771",18.4%
163,Un tour chez ma fille,"$3,141,536",-,-,"$3,141,536",100%
164,Kamen Rider Saber + Kikai Sentai Zenkaiger: Super Hero Senki,"$2,997,511",-,-,"$2,997,511",100%
165,Pig,"$2,906,279","$2,906,279",100%,-,-
166,The House Next Door: Meet the Blacks 2,"$2,893,660","$2,893,660",100%,-,-
167,Here Today,"$2,807,494","$2,807,494",100%,-,-
168,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$2,800,793",-,-,"$2,800,793",100%
169,The Speech,"$2,774,120",-,-,"$2,774,120",100%
170,Recalled,"$2,696,945",-,-,"$2,696,945",100%
171,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","$2,669,278","$2,256,616",84.5%,"$412,662",15.5%
172,The Book of Fish,"$2,615,780",-,-,"$2,615,780",100%
173,The Ice Road,"$2,608,879",-,-,"$2,608,879",100%
174,The Waiter,"$2,582,106",-,-,"$2,582,106",100%
175,Benedetta,"$2,418,814",-,-,"$2,418,814",100%
176,High Ground,"$2,313,364",-,-,"$2,313,364",100%
177,Roohi,"$2,306,525",-,-,"$2,306,525",100%
178,Long Story Short,"$2,268,961",-,-,"$2,268,961",100%
179,Mumbai Saga,"$2,243,073",-,-,"$2,243,073",100%
180,Fly Me Away,"$2,238,089",-,-,"$2,238,089",100%
181,Calamity Jane,"$2,237,596",-,-,"$2,237,596",100%
182,Supernova,"$2,223,584","$234,220",10.5%,"$1,989,364",89.5%
183,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
184,Annette,"$2,133,966",-,-,"$2,133,966",100%
185,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
186,Fate/Grand Order The Movie Divine Realm Of The Round Table: Camelot Paladin; Agateram,"$2,085,581",-,-,"$2,085,581",100%
187,Sankaku Mado no Sotogawa wa Yoru,"$2,081,564",-,-,"$2,081,564",100%
188,One Second Champion,"$2,081,126",-,-,"$2,081,126",100%
189,Mandibles,"$2,037,904","$17,336",0.9%,"$2,020,568",99.1%
190,June Again,"$1,957,678",-,-,"$1,957,678",100%
191,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
192,Matky,"$1,913,037",-,-,"$1,913,037",100%
193,Queen Bees,"$1,907,128","$1,907,128",100%,-,-
194,Ensemble Stars!! Es Music Garden Delay Viewing,"$1,905,644",-,-,"$1,905,644",100%
195,Radhe,"$1,900,312",-,-,"$1,900,312",100%
196,Forgotten We'll Be,"$1,780,219",-,-,"$1,780,219",100%
197,Profile,"$1,763,278","$1,744,740",98.9%,"$18,538",1.1%
198,Come Play with Me,"$1,753,299",-,-,"$1,753,299",100%
199,Boss Level,"$1,747,162",-,-,"$1,747,162",100%
200,The Deep House,"$1,696,873",-,-,"$1,696,873",100%
